implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1200,600,1200,1,1.130528,1.000000,1.130528,0,"ok","./bin/mm_serial 1200 600 1200","Time: 1.130528 seconds"
"Implementation 2 (MM-1D)",1200,600,1200,1,1.124560,1.005307,1.124560,0,"ok","mpirun -np 1 ./bin/mm_1d 1200 600 1200","Local Matrix Multiplication Compute Time: 1.01324 seconds Total Runtime: 1.12456 seconds"
"Implementation 3 (MM-2D)",1200,600,1200,1,1.140521,0.991238,1.140521,0,"ok","mpirun -np 1 ./bin/mm_2d 1200 600 1200","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x600), B(600x1200), C(1200x1200) Parallel Time: 1.140521 seconds"
"Implementation 1 (Serial)",1200,600,1200,4,1.130528,1.000000,1.130528,0,"ok","./bin/mm_serial 1200 600 1200","Time: 1.130528 seconds"
"Implementation 2 (MM-1D)",1200,600,1200,4,0.372737,3.033045,1.490948,0,"ok","mpirun -np 4 ./bin/mm_1d 1200 600 1200","Local Matrix Multiplication Compute Time: 0.261192 seconds Total Runtime: 0.372737 seconds"
"Implementation 3 (MM-2D)",1200,600,1200,4,0.400780,2.820819,1.603120,0,"ok","mpirun -np 4 ./bin/mm_2d 1200 600 1200","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x600), B(600x1200), C(1200x1200) Parallel Time: 0.400780 seconds"
"Implementation 1 (Serial)",1200,600,1200,9,1.130528,1.000000,1.130528,0,"ok","./bin/mm_serial 1200 600 1200","Time: 1.130528 seconds"
"Implementation 2 (MM-1D)",1200,600,1200,9,0.650503,1.737929,5.854527,0,"ok","mpirun -np 9 ./bin/mm_1d 1200 600 1200","Local Matrix Multiplication Compute Time: 0.424268 seconds Total Runtime: 0.650503 seconds"
"Implementation 3 (MM-2D)",1200,600,1200,9,0.299423,3.775689,2.694807,0,"ok","mpirun -np 9 ./bin/mm_2d 1200 600 1200","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x600), B(600x1200), C(1200x1200) Parallel Time: 0.299423 seconds"
"Implementation 1 (Serial)",1200,600,1200,16,1.130528,1.000000,1.130528,0,"ok","./bin/mm_serial 1200 600 1200","Time: 1.130528 seconds"
"Implementation 2 (MM-1D)",1200,600,1200,16,5.925480,0.190791,94.807680,0,"ok","mpirun -np 16 ./bin/mm_1d 1200 600 1200","Local Matrix Multiplication Compute Time: 5.28016 seconds Total Runtime: 5.92548 seconds"
"Implementation 3 (MM-2D)",1200,600,1200,16,0.258925,4.366237,4.142800,0,"ok","mpirun -np 16 ./bin/mm_2d 1200 600 1200","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x600), B(600x1200), C(1200x1200) Parallel Time: 0.258925 seconds"
"Implementation 1 (Serial)",1200,600,1200,25,1.130528,1.000000,1.130528,0,"ok","./bin/mm_serial 1200 600 1200","Time: 1.130528 seconds"
"Implementation 2 (MM-1D)",1200,600,1200,25,7.330530,0.154222,183.263250,0,"ok","mpirun -np 25 ./bin/mm_1d 1200 600 1200","Local Matrix Multiplication Compute Time: 0.0624698 seconds Total Runtime: 7.33053 seconds"
"Implementation 3 (MM-2D)",1200,600,1200,25,0.260251,4.343991,6.506275,0,"ok","mpirun -np 25 ./bin/mm_2d 1200 600 1200","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x600), B(600x1200), C(1200x1200) Parallel Time: 0.260251 seconds"
