implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",4200,2400,600,1,8.392194,1.000000,1.000000,8.392194,0,"ok","./bin/mm_serial 4200 2400 600","Time: 8.392194 seconds"
"Implementation 2 (MM-1D)",4200,2400,600,1,7.200300,1.000000,1.165534,7.200300,0,"ok","mpirun -np 1 ./bin/mm_1d 4200 2400 600","Local Matrix Multiplication Compute Time: 7.09376 seconds Total Runtime: 7.2003 seconds"
"Implementation 3 (MM-2D)",4200,2400,600,1,7.109625,1.000000,1.180399,7.109625,0,"ok","mpirun -np 1 ./bin/mm_2d 4200 2400 600","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(4200x2400), B(2400x600), C(4200x600) Parallel Time: 7.109625 seconds"
"Implementation 1 (Serial)",4200,2400,600,4,8.392194,1.000000,1.000000,8.392194,0,"ok","./bin/mm_serial 4200 2400 600","Time: 8.392194 seconds"
"Implementation 2 (MM-1D)",4200,2400,600,4,2.712300,2.654684,3.094125,10.849200,0,"ok","mpirun -np 4 ./bin/mm_1d 4200 2400 600","Local Matrix Multiplication Compute Time: 2.60851 seconds Total Runtime: 2.7123 seconds"
"Implementation 3 (MM-2D)",4200,2400,600,4,1.894610,3.752553,4.429510,7.578440,0,"ok","mpirun -np 4 ./bin/mm_2d 4200 2400 600","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(4200x2400), B(2400x600), C(4200x600) Parallel Time: 1.894610 seconds"
"Implementation 1 (Serial)",4200,2400,600,9,8.392194,1.000000,1.000000,8.392194,0,"ok","./bin/mm_serial 4200 2400 600","Time: 8.392194 seconds"
"Implementation 2 (MM-1D)",4200,2400,600,9,1.765240,4.078935,4.754138,15.887160,0,"ok","mpirun -np 9 ./bin/mm_1d 4200 2400 600","Local Matrix Multiplication Compute Time: 1.62892 seconds Total Runtime: 1.76524 seconds"
"Implementation 3 (MM-2D)",4200,2400,600,9,1.017942,6.984312,8.244275,9.161478,0,"ok","mpirun -np 9 ./bin/mm_2d 4200 2400 600","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(4200x2400), B(2400x600), C(4200x600) Parallel Time: 1.017942 seconds"
"Implementation 1 (Serial)",4200,2400,600,16,8.392194,1.000000,1.000000,8.392194,0,"ok","./bin/mm_serial 4200 2400 600","Time: 8.392194 seconds"
"Implementation 2 (MM-1D)",4200,2400,600,16,1.177250,6.116203,7.128642,18.836000,0,"ok","mpirun -np 16 ./bin/mm_1d 4200 2400 600","Local Matrix Multiplication Compute Time: 1.02414 seconds Total Runtime: 1.17725 seconds"
"Implementation 3 (MM-2D)",4200,2400,600,16,0.631315,11.261613,13.293196,10.101040,0,"ok","mpirun -np 16 ./bin/mm_2d 4200 2400 600","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(4200x2400), B(2400x600), C(4200x600) Parallel Time: 0.631315 seconds"
"Implementation 1 (Serial)",4200,2400,600,25,8.392194,1.000000,1.000000,8.392194,0,"ok","./bin/mm_serial 4200 2400 600","Time: 8.392194 seconds"
"Implementation 2 (MM-1D)",4200,2400,600,25,1.606840,4.481031,5.222794,40.171000,0,"ok","mpirun -np 25 ./bin/mm_1d 4200 2400 600","Local Matrix Multiplication Compute Time: 1.36422 seconds Total Runtime: 1.60684 seconds"
"Implementation 3 (MM-2D)",4200,2400,600,25,0.745416,9.537795,11.258403,18.635400,0,"ok","mpirun -np 25 ./bin/mm_2d 4200 2400 600","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(4200x2400), B(2400x600), C(4200x600) Parallel Time: 0.745416 seconds"
