implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output,a_size,b_size,c_size,total_ops,m_dominant,n_dominant,q_dominant,shape_type
Implementation 1 (Serial),1200,1200,1200,1,2.207076,1.000000,1.000000,2.207076,0,ok,./bin/mm_serial 1200 1200 1200,Time: 2.207076 seconds,1440000,1440000,1440000,3456000000,1,0,0,uniform
Implementation 2 (MM-1D),1200,1200,1200,1,2.028950,1.000000,1.087792,2.028950,0,ok,mpirun -np 1 ./bin/mm_1d 1200 1200 1200,Local Matrix Multiplication Compute Time: 1.99408 seconds Total Runtime: 2.02895 seconds,1440000,1440000,1440000,3456000000,1,0,0,uniform
Implementation 3 (MM-2D),1200,1200,1200,1,1.988262,1.000000,1.110053,1.988262,0,ok,mpirun -np 1 ./bin/mm_2d 1200 1200 1200,"MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x1200), B(1200x1200), C(1200x1200) Parallel Time: 1.988262 seconds",1440000,1440000,1440000,3456000000,1,0,0,uniform
Implementation 1 (Serial),1200,1200,1200,4,2.207076,1.000000,1.000000,2.207076,0,ok,./bin/mm_serial 1200 1200 1200,Time: 2.207076 seconds,1440000,1440000,1440000,3456000000,1,0,0,uniform
Implementation 2 (MM-1D),1200,1200,1200,4,0.782987,2.591295,2.818790,3.131948,0,ok,mpirun -np 4 ./bin/mm_1d 1200 1200 1200,Local Matrix Multiplication Compute Time: 0.730787 seconds Total Runtime: 0.782987 seconds,1440000,1440000,1440000,3456000000,1,0,0,uniform
Implementation 3 (MM-2D),1200,1200,1200,4,0.549536,3.618074,4.016254,2.198144,0,ok,mpirun -np 4 ./bin/mm_2d 1200 1200 1200,"MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x1200), B(1200x1200), C(1200x1200) Parallel Time: 0.549536 seconds",1440000,1440000,1440000,3456000000,1,0,0,uniform
Implementation 1 (Serial),1200,1200,1200,9,2.207076,1.000000,1.000000,2.207076,0,ok,./bin/mm_serial 1200 1200 1200,Time: 2.207076 seconds,1440000,1440000,1440000,3456000000,1,0,0,uniform
Implementation 2 (MM-1D),1200,1200,1200,9,0.553226,3.667489,3.989465,4.979034,0,ok,mpirun -np 9 ./bin/mm_1d 1200 1200 1200,Local Matrix Multiplication Compute Time: 0.492059 seconds Total Runtime: 0.553226 seconds,1440000,1440000,1440000,3456000000,1,0,0,uniform
Implementation 3 (MM-2D),1200,1200,1200,9,0.291813,6.813480,7.563323,2.626317,0,ok,mpirun -np 9 ./bin/mm_2d 1200 1200 1200,"MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x1200), B(1200x1200), C(1200x1200) Parallel Time: 0.291813 seconds",1440000,1440000,1440000,3456000000,1,0,0,uniform
Implementation 1 (Serial),1200,1200,1200,16,2.207076,1.000000,1.000000,2.207076,0,ok,./bin/mm_serial 1200 1200 1200,Time: 2.207076 seconds,1440000,1440000,1440000,3456000000,1,0,0,uniform
Implementation 2 (MM-1D),1200,1200,1200,16,0.372894,5.441090,5.918776,5.966304,0,ok,mpirun -np 16 ./bin/mm_1d 1200 1200 1200,Local Matrix Multiplication Compute Time: 0.283687 seconds Total Runtime: 0.372894 seconds,1440000,1440000,1440000,3456000000,1,0,0,uniform
Implementation 3 (MM-2D),1200,1200,1200,16,0.184937,10.751023,11.934205,2.958992,0,ok,mpirun -np 16 ./bin/mm_2d 1200 1200 1200,"MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x1200), B(1200x1200), C(1200x1200) Parallel Time: 0.184937 seconds",1440000,1440000,1440000,3456000000,1,0,0,uniform
Implementation 1 (Serial),1200,1200,1200,25,2.207076,1.000000,1.000000,2.207076,0,ok,./bin/mm_serial 1200 1200 1200,Time: 2.207076 seconds,1440000,1440000,1440000,3456000000,1,0,0,uniform
Implementation 2 (MM-1D),1200,1200,1200,25,0.461369,4.397673,4.783754,11.534225,0,ok,mpirun -np 25 ./bin/mm_1d 1200 1200 1200,Local Matrix Multiplication Compute Time: 0.197034 seconds Total Runtime: 0.461369 seconds,1440000,1440000,1440000,3456000000,1,0,0,uniform
Implementation 3 (MM-2D),1200,1200,1200,25,0.223768,8.885372,9.863233,5.594200,0,ok,mpirun -np 25 ./bin/mm_2d 1200 1200 1200,"MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x1200), B(1200x1200), C(1200x1200) Parallel Time: 0.223768 seconds",1440000,1440000,1440000,3456000000,1,0,0,uniform
Implementation 1 (Serial),1200,1200,1800,1,3.232860,1.000000,1.000000,3.232860,0,ok,./bin/mm_serial 1200 1200 1800,Time: 3.232860 seconds,1440000,2160000,2160000,5184000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,1800,1,3.068000,1.000000,1.053735,3.068000,0,ok,mpirun -np 1 ./bin/mm_1d 1200 1200 1800,Local Matrix Multiplication Compute Time: 3.02351 seconds Total Runtime: 3.068 seconds,1440000,2160000,2160000,5184000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,1200,1800,1,3.063718,1.000000,1.055208,3.063718,0,ok,mpirun -np 1 ./bin/mm_2d 1200 1200 1800,"MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x1200), B(1200x1800), C(1200x1800) Parallel Time: 3.063718 seconds",1440000,2160000,2160000,5184000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,1200,1800,4,3.232860,1.000000,1.000000,3.232860,0,ok,./bin/mm_serial 1200 1200 1800,Time: 3.232860 seconds,1440000,2160000,2160000,5184000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,1800,4,1.547930,1.982002,2.088505,6.191720,0,ok,mpirun -np 4 ./bin/mm_1d 1200 1200 1800,Local Matrix Multiplication Compute Time: 1.48963 seconds Total Runtime: 1.54793 seconds,1440000,2160000,2160000,5184000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,1200,1800,4,0.786587,3.894951,4.109984,3.146348,0,ok,mpirun -np 4 ./bin/mm_2d 1200 1200 1800,"MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x1200), B(1200x1800), C(1200x1800) Parallel Time: 0.786587 seconds",1440000,2160000,2160000,5184000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,1200,1800,9,3.232860,1.000000,1.000000,3.232860,0,ok,./bin/mm_serial 1200 1200 1800,Time: 3.232860 seconds,1440000,2160000,2160000,5184000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,1800,9,0.821260,3.735723,3.936463,7.391340,0,ok,mpirun -np 9 ./bin/mm_1d 1200 1200 1800,Local Matrix Multiplication Compute Time: 0.728235 seconds Total Runtime: 0.82126 seconds,1440000,2160000,2160000,5184000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,1200,1800,9,0.421595,7.266969,7.668165,3.794355,0,ok,mpirun -np 9 ./bin/mm_2d 1200 1200 1800,"MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x1200), B(1200x1800), C(1200x1800) Parallel Time: 0.421595 seconds",1440000,2160000,2160000,5184000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,1200,1800,16,3.232860,1.000000,1.000000,3.232860,0,ok,./bin/mm_serial 1200 1200 1800,Time: 3.232860 seconds,1440000,2160000,2160000,5184000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,1800,16,0.555100,5.526932,5.823924,8.881600,0,ok,mpirun -np 16 ./bin/mm_1d 1200 1200 1800,Local Matrix Multiplication Compute Time: 0.422803 seconds Total Runtime: 0.5551 seconds,1440000,2160000,2160000,5184000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,1200,1800,16,0.284892,10.753963,11.347669,4.558272,0,ok,mpirun -np 16 ./bin/mm_2d 1200 1200 1800,"MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x1200), B(1200x1800), C(1200x1800) Parallel Time: 0.284892 seconds",1440000,2160000,2160000,5184000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,1200,1800,25,3.232860,1.000000,1.000000,3.232860,0,ok,./bin/mm_serial 1200 1200 1800,Time: 3.232860 seconds,1440000,2160000,2160000,5184000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,1800,25,0.640583,4.789387,5.046746,16.014575,0,ok,mpirun -np 25 ./bin/mm_1d 1200 1200 1800,Local Matrix Multiplication Compute Time: 0.442574 seconds Total Runtime: 0.640583 seconds,1440000,2160000,2160000,5184000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,1200,1800,25,0.284079,10.784739,11.380144,7.101975,0,ok,mpirun -np 25 ./bin/mm_2d 1200 1200 1800,"MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x1200), B(1200x1800), C(1200x1800) Parallel Time: 0.284079 seconds",1440000,2160000,2160000,5184000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,1200,2400,1,9.300636,1.000000,1.000000,9.300636,0,ok,./bin/mm_serial 1200 1200 2400,Time: 9.300636 seconds,1440000,2880000,2880000,6912000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,2400,1,8.763720,1.000000,1.061266,8.763720,0,ok,mpirun -np 1 ./bin/mm_1d 1200 1200 2400,Local Matrix Multiplication Compute Time: 8.70696 seconds Total Runtime: 8.76372 seconds,1440000,2880000,2880000,6912000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,1200,2400,1,9.190657,1.000000,1.011966,9.190657,0,ok,mpirun -np 1 ./bin/mm_2d 1200 1200 2400,"MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x1200), B(1200x2400), C(1200x2400) Parallel Time: 9.190657 seconds",1440000,2880000,2880000,6912000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,1200,2400,4,9.300636,1.000000,1.000000,9.300636,0,ok,./bin/mm_serial 1200 1200 2400,Time: 9.300636 seconds,1440000,2880000,2880000,6912000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,2400,4,2.837800,3.088209,3.277411,11.351200,0,ok,mpirun -np 4 ./bin/mm_1d 1200 1200 2400,Local Matrix Multiplication Compute Time: 2.76602 seconds Total Runtime: 2.8378 seconds,1440000,2880000,2880000,6912000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,1200,2400,4,1.066509,8.617515,8.720635,4.266036,0,ok,mpirun -np 4 ./bin/mm_2d 1200 1200 2400,"MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x1200), B(1200x2400), C(1200x2400) Parallel Time: 1.066509 seconds",1440000,2880000,2880000,6912000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,1200,2400,9,9.300636,1.000000,1.000000,9.300636,0,ok,./bin/mm_serial 1200 1200 2400,Time: 9.300636 seconds,1440000,2880000,2880000,6912000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,2400,9,1.446690,6.057773,6.428907,13.020210,0,ok,mpirun -np 9 ./bin/mm_1d 1200 1200 2400,Local Matrix Multiplication Compute Time: 1.32967 seconds Total Runtime: 1.44669 seconds,1440000,2880000,2880000,6912000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,1200,2400,9,0.567630,16.191281,16.385033,5.108670,0,ok,mpirun -np 9 ./bin/mm_2d 1200 1200 2400,"MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x1200), B(1200x2400), C(1200x2400) Parallel Time: 0.567630 seconds",1440000,2880000,2880000,6912000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,1200,2400,16,9.300636,1.000000,1.000000,9.300636,0,ok,./bin/mm_serial 1200 1200 2400,Time: 9.300636 seconds,1440000,2880000,2880000,6912000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,2400,16,0.929914,9.424226,10.001609,14.878624,0,ok,mpirun -np 16 ./bin/mm_1d 1200 1200 2400,Local Matrix Multiplication Compute Time: 0.774486 seconds Total Runtime: 0.929914 seconds,1440000,2880000,2880000,6912000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,1200,2400,16,0.408188,22.515745,22.785177,6.531008,0,ok,mpirun -np 16 ./bin/mm_2d 1200 1200 2400,"MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x1200), B(1200x2400), C(1200x2400) Parallel Time: 0.408188 seconds",1440000,2880000,2880000,6912000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,1200,2400,25,9.300636,1.000000,1.000000,9.300636,0,ok,./bin/mm_serial 1200 1200 2400,Time: 9.300636 seconds,1440000,2880000,2880000,6912000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,2400,25,1.129890,7.756259,8.231453,28.247250,0,ok,mpirun -np 25 ./bin/mm_1d 1200 1200 2400,Local Matrix Multiplication Compute Time: 0.624904 seconds Total Runtime: 1.12989 seconds,1440000,2880000,2880000,6912000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,1200,2400,25,0.432925,21.229213,21.483250,10.823125,0,ok,mpirun -np 25 ./bin/mm_2d 1200 1200 2400,"MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x1200), B(1200x2400), C(1200x2400) Parallel Time: 0.432925 seconds",1440000,2880000,2880000,6912000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,1200,3000,1,9.213144,1.000000,1.000000,9.213144,0,ok,./bin/mm_serial 1200 1200 3000,Time: 9.213144 seconds,1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,3000,1,8.918730,1.000000,1.033011,8.918730,0,ok,mpirun -np 1 ./bin/mm_1d 1200 1200 3000,Local Matrix Multiplication Compute Time: 8.85207 seconds Total Runtime: 8.91873 seconds,1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,1200,3000,1,8.877864,1.000000,1.037766,8.877864,0,ok,mpirun -np 1 ./bin/mm_2d 1200 1200 3000,"MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x1200), B(1200x3000), C(1200x3000) Parallel Time: 8.877864 seconds",1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,1200,3000,4,9.213144,1.000000,1.000000,9.213144,0,ok,./bin/mm_serial 1200 1200 3000,Time: 9.213144 seconds,1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,3000,4,2.510590,3.552444,3.669713,10.042360,0,ok,mpirun -np 4 ./bin/mm_1d 1200 1200 3000,Local Matrix Multiplication Compute Time: 2.42814 seconds Total Runtime: 2.51059 seconds,1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,1200,3000,4,1.299886,6.829725,7.087655,5.199544,0,ok,mpirun -np 4 ./bin/mm_2d 1200 1200 3000,"MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x1200), B(1200x3000), C(1200x3000) Parallel Time: 1.299886 seconds",1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,1200,3000,9,9.213144,1.000000,1.000000,9.213144,0,ok,./bin/mm_serial 1200 1200 3000,Time: 9.213144 seconds,1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,3000,9,1.306060,6.828729,7.054151,11.754540,0,ok,mpirun -np 9 ./bin/mm_1d 1200 1200 3000,Local Matrix Multiplication Compute Time: 1.17916 seconds Total Runtime: 1.30606 seconds,1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,1200,3000,9,0.729737,12.165841,12.625294,6.567633,0,ok,mpirun -np 9 ./bin/mm_2d 1200 1200 3000,"MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x1200), B(1200x3000), C(1200x3000) Parallel Time: 0.729737 seconds",1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,1200,3000,16,9.213144,1.000000,1.000000,9.213144,0,ok,./bin/mm_serial 1200 1200 3000,Time: 9.213144 seconds,1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,3000,16,0.899801,9.911892,10.239091,14.396816,0,ok,mpirun -np 16 ./bin/mm_1d 1200 1200 3000,Local Matrix Multiplication Compute Time: 0.707752 seconds Total Runtime: 0.899801 seconds,1440000,3600000,3600000,8640000000,0,0,1,q_dominant
