implementation,shape_type,m,n,q,p,total_ops,avg_seconds,avg_speedup,avg_serial_speedup,avg_cost,sample_count
Implementation 1 (Serial),m_dominant,1200,600,600,1,864000000,0.569793000,1.000000,1.000000,0.569793000,1
Implementation 1 (Serial),m_dominant,1200,600,600,4,864000000,0.569793000,1.000000,1.000000,0.569793000,1
Implementation 1 (Serial),m_dominant,1200,600,600,9,864000000,0.569793000,1.000000,1.000000,0.569793000,1
Implementation 1 (Serial),m_dominant,1200,600,600,16,864000000,0.569793000,1.000000,1.000000,0.569793000,1
Implementation 1 (Serial),m_dominant,1200,600,600,25,864000000,0.569793000,1.000000,1.000000,0.569793000,1
Implementation 1 (Serial),m_dominant,1800,600,600,1,1296000000,0.856080000,1.000000,1.000000,0.856080000,1
Implementation 1 (Serial),m_dominant,1800,600,600,4,1296000000,0.856080000,1.000000,1.000000,0.856080000,1
Implementation 1 (Serial),m_dominant,1800,600,600,9,1296000000,0.856080000,1.000000,1.000000,0.856080000,1
Implementation 1 (Serial),m_dominant,1800,600,600,16,1296000000,0.856080000,1.000000,1.000000,0.856080000,1
Implementation 1 (Serial),m_dominant,1800,600,600,25,1296000000,0.856080000,1.000000,1.000000,0.856080000,1
Implementation 1 (Serial),m_dominant,1800,600,1200,1,2592000000,1.704394000,1.000000,1.000000,1.704394000,1
Implementation 1 (Serial),m_dominant,1800,600,1200,4,2592000000,1.704394000,1.000000,1.000000,1.704394000,1
Implementation 1 (Serial),m_dominant,1800,600,1200,9,2592000000,1.704394000,1.000000,1.000000,1.704394000,1
Implementation 1 (Serial),m_dominant,1800,600,1200,16,2592000000,1.704394000,1.000000,1.000000,1.704394000,1
Implementation 1 (Serial),m_dominant,1800,600,1200,25,2592000000,1.704394000,1.000000,1.000000,1.704394000,1
Implementation 1 (Serial),m_dominant,1800,1200,600,1,2592000000,1.628932000,1.000000,1.000000,1.628932000,1
Implementation 1 (Serial),m_dominant,1800,1200,600,4,2592000000,1.628932000,1.000000,1.000000,1.628932000,1
Implementation 1 (Serial),m_dominant,1800,1200,600,9,2592000000,1.628932000,1.000000,1.000000,1.628932000,1
Implementation 1 (Serial),m_dominant,1800,1200,600,16,2592000000,1.628932000,1.000000,1.000000,1.628932000,1
Implementation 1 (Serial),m_dominant,1800,1200,600,25,2592000000,1.628932000,1.000000,1.000000,1.628932000,1
Implementation 1 (Serial),m_dominant,1800,1200,1200,1,5184000000,3.307177000,1.000000,1.000000,3.307177000,1
Implementation 1 (Serial),m_dominant,1800,1200,1200,4,5184000000,3.307177000,1.000000,1.000000,3.307177000,1
Implementation 1 (Serial),m_dominant,1800,1200,1200,9,5184000000,3.307177000,1.000000,1.000000,3.307177000,1
Implementation 1 (Serial),m_dominant,1800,1200,1200,16,5184000000,3.307177000,1.000000,1.000000,3.307177000,1
Implementation 1 (Serial),m_dominant,1800,1200,1200,25,5184000000,3.307177000,1.000000,1.000000,3.307177000,1
Implementation 1 (Serial),m_dominant,2400,600,600,1,1728000000,1.159689000,1.000000,1.000000,1.159689000,1
Implementation 1 (Serial),m_dominant,2400,600,600,4,1728000000,1.159689000,1.000000,1.000000,1.159689000,1
Implementation 1 (Serial),m_dominant,2400,600,600,9,1728000000,1.159689000,1.000000,1.000000,1.159689000,1
Implementation 1 (Serial),m_dominant,2400,600,600,16,1728000000,1.159689000,1.000000,1.000000,1.159689000,1
Implementation 1 (Serial),m_dominant,2400,600,600,25,1728000000,1.159689000,1.000000,1.000000,1.159689000,1
Implementation 1 (Serial),m_dominant,2400,600,1200,1,3456000000,2.274050000,1.000000,1.000000,2.274050000,1
Implementation 1 (Serial),m_dominant,2400,600,1200,4,3456000000,2.274050000,1.000000,1.000000,2.274050000,1
Implementation 1 (Serial),m_dominant,2400,600,1200,9,3456000000,2.274050000,1.000000,1.000000,2.274050000,1
Implementation 1 (Serial),m_dominant,2400,600,1200,16,3456000000,2.274050000,1.000000,1.000000,2.274050000,1
Implementation 1 (Serial),m_dominant,2400,600,1200,25,3456000000,2.274050000,1.000000,1.000000,2.274050000,1
Implementation 1 (Serial),m_dominant,2400,600,1800,1,5184000000,3.290571000,1.000000,1.000000,3.290571000,1
Implementation 1 (Serial),m_dominant,2400,600,1800,4,5184000000,3.290571000,1.000000,1.000000,3.290571000,1
Implementation 1 (Serial),m_dominant,2400,600,1800,9,5184000000,3.290571000,1.000000,1.000000,3.290571000,1
Implementation 1 (Serial),m_dominant,2400,600,1800,16,5184000000,3.290571000,1.000000,1.000000,3.290571000,1
Implementation 1 (Serial),m_dominant,2400,600,1800,25,5184000000,3.290571000,1.000000,1.000000,3.290571000,1
Implementation 1 (Serial),m_dominant,2400,1200,600,1,3456000000,2.177113000,1.000000,1.000000,2.177113000,1
Implementation 1 (Serial),m_dominant,2400,1200,600,4,3456000000,2.177113000,1.000000,1.000000,2.177113000,1
Implementation 1 (Serial),m_dominant,2400,1200,600,9,3456000000,2.177113000,1.000000,1.000000,2.177113000,1
Implementation 1 (Serial),m_dominant,2400,1200,600,16,3456000000,2.177113000,1.000000,1.000000,2.177113000,1
Implementation 1 (Serial),m_dominant,2400,1200,600,25,3456000000,2.177113000,1.000000,1.000000,2.177113000,1
Implementation 1 (Serial),m_dominant,2400,1200,1200,1,6912000000,4.587504000,1.000000,1.000000,4.587504000,1
Implementation 1 (Serial),m_dominant,2400,1200,1200,4,6912000000,4.587504000,1.000000,1.000000,4.587504000,1
Implementation 1 (Serial),m_dominant,2400,1200,1200,9,6912000000,4.587504000,1.000000,1.000000,4.587504000,1
Implementation 1 (Serial),m_dominant,2400,1200,1200,16,6912000000,4.587504000,1.000000,1.000000,4.587504000,1
Implementation 1 (Serial),m_dominant,2400,1200,1200,25,6912000000,4.587504000,1.000000,1.000000,4.587504000,1
Implementation 1 (Serial),m_dominant,2400,1200,1800,1,10368000000,6.724665000,1.000000,1.000000,6.724665000,1
Implementation 1 (Serial),m_dominant,2400,1200,1800,4,10368000000,6.724665000,1.000000,1.000000,6.724665000,1
Implementation 1 (Serial),m_dominant,2400,1200,1800,9,10368000000,6.724665000,1.000000,1.000000,6.724665000,1
Implementation 1 (Serial),m_dominant,2400,1200,1800,16,10368000000,6.724665000,1.000000,1.000000,6.724665000,1
Implementation 1 (Serial),m_dominant,2400,1200,1800,25,10368000000,6.724665000,1.000000,1.000000,6.724665000,1
Implementation 1 (Serial),m_dominant,2400,1800,600,1,5184000000,3.319705000,1.000000,1.000000,3.319705000,1
Implementation 1 (Serial),m_dominant,2400,1800,600,4,5184000000,3.319705000,1.000000,1.000000,3.319705000,1
Implementation 1 (Serial),m_dominant,2400,1800,600,9,5184000000,3.319705000,1.000000,1.000000,3.319705000,1
Implementation 1 (Serial),m_dominant,2400,1800,600,16,5184000000,3.319705000,1.000000,1.000000,3.319705000,1
